Order_ID,Chain_Name,Food_Item_Type,City,Customer_Age,Gender,Order_Mode,Time_Slot,Veg_NonVeg,Item_Price_INR,Discount_Percent,Quantity,Total_Bill_INR,Payment_Mode,Customer_Rating,Delivery_Time_Min,Repeat_Visit,Loyalty_Points,Order_Date,Coupon_Used
FF20175,KFC,Sandwich,Hyderabad,33.0,male,Swiggy,Breakfast,Non-Veg,249.0,25,1,186.75,Credit Card,1,60,No,0,2022-01-10,yes
FF20176,Biryani By Kilo,Biryani,Pune,27.0,Female,Zomato,Breakfast,vegan,99.0,15,1,84.15,UPI,3,60,YES,200,10/12/2023,N
FF20177,Barbeque Nation,Wrap,Jaipur,26.0,F,DINE-IN,lunch,Veg,299,30,1,209.3,UPI,5,30,NO,50,03/09/2023,No
FF20178,Wow! Momo,Sandwich,Surat, 16,Male,dine-in,DINNER,veg,199.0,30,2,278.6,Cash,,40,1,100,28.4.2019,YES
FF20179,McDonald's,Biryani,Kolkata,19,male,Takeaway,breakfast,VEG,Rs.399,10%,3,1077.3,Debit Card,,35,1,100,6/10/2019,No
FF20180,Barbeque Nation,Dessert,Jaipur,49,Male,takeaway,Evening Snack,non-veg,99,30,2,138.6,Debit Card,NA,60,NO,0,27/03/2021,1
FF20181,Box8,Wrap,Pune,42,F,Swiggy,lunch,NON-VEG,₹149,0,2,298.0,CASH,3,25,No,150,2019-01-28,NO
FF20182,KFC,Wrap,Chennai,50,female,takeaway,Evening Snack,NON-VEG,₹99,30%,4,277.2,upi,3,30 min,Y,50,19.4.2024,No
FF20183,Wow! Momo,Pizza,Mumbai,35.0,female,zomato,Late Night,Non-Veg,Rs.399,0,3,1197.0,CASH,,45 min,N,50,2023-04-02,1
FF20184,Barbeque Nation,Biryani,Chennai, 37,male,Dine-In,Breakfast,Veg,599.0,20,4,1916.8,Debit Card,3,60,0,50,4/14/2024,YES
FF20185,Domino's,Pizza,Chennai, 23,MALE,Takeaway,Dinner,VEG,799,20%,4,2556.8,Debit Card,5,NA,N,0,21/09/2019,No
FF20186,Biryani By Kilo,Fried Chicken,Hyderabad,33,male,Zomato,Dinner,Vegan,99,0,1,99.0,Cash,2,25,YES,100,11/3/2024,no
FF20187,Domino's,Biryani,Pune,41.0,Female,zomato,breakfast,non-veg,Rs.149,15,3,379.95,Credit Card,5,20,No,0,1/23/2023,Y
FF20188,Barbeque Nation,Momos,Delhi,23,Female,Home Delivery,DINNER,Veg,599.0,30%,1,419.3,UPI,4,25,yes,100,20/05/2020,no
FF20189,Subway,Biryani,Kolkata,18.0,male,zomato,Breakfast,veg,₹799,25%,3,1797.75,upi,NA,25,No,0,13-6-2019,0
FF20190,Pizza Hut,Biryani,Delhi, 44,F,Takeaway,Dinner,non-veg,199.0,0%,1,199.0,Wallet,4,30 min,1,0,19/11/2022,Yes
FF20191,Wow! Momo,Momos,Mumbai, 47,Female,Home Delivery,lunch,NON-VEG,149.0,0,3,447.0,Wallet,3,60,YES,50,2-10-2019,N
FF20192,Biryani By Kilo,Burger,Kolkata,27,Male,takeaway,breakfast,veg,799,0,3,2397.0,Cash,4,45,no,NA,9.5.2024,Yes
FF20193,Haldiram's,Burger,Mumbai,31.0,F,Swiggy,Lunch,Vegan,249,15,1,211.65,Debit Card,5,30 min,N,150,2019-12-20,YES
FF20194,Subway,Momos,Bangalore,30.0,MALE,DINE-IN,breakfast,Non-Veg,99.0,10,3,267.3,CASH,5,20,Y,0,20.10.2023,Yes
FF20195,McDonald's,Wrap,Mumbai,17,female,Swiggy,breakfast,NON-VEG,299,15,3,762.45,Cash,4,60,yes,150,16.4.2022,N
FF20196,Box8,Momos,Mumbai, 31,Male,Zomato,Evening Snack,Non-Veg,199,10%,4,716.4,Debit Card,3,45,no,100,2020-03-10,N
FF20197,Domino's,Momos,Chennai,24.0,Female,Takeaway,lunch,Veg,99,0,1,99.0,UPI,4,45 min,yes,0,05/09/2021,yes
FF20198,Box8,Pizza,Ahmedabad, 50,male,Zomato,breakfast,Vegan,Rs.499,30%,4,1397.2,wallet,NA,30,Yes,50,5/16/2019,NO
FF20199,McDonald's,Wrap,Chennai, 30,F,zomato,Dinner,vegan,199.0,20%,3,477.6,Wallet,NA,40,N,0,8-1-2021,NO
